Student_Name,Hours_Studied,Attendance,Parental_Involvement,Parental_Education_Level,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Distance_from_Home,Gender,Exam_Score
Tanzim Shaikh,25,93.8,Low,Postgraduate,Medium,No,7,89.7,Low,Yes,0,Medium,Low,Public,Neutral,2,No,Far,Male,100.0
Tanvir Hossain,25,80.8,High,College,Medium,No,5,99.9,Low,No,1,High,Medium,Public,Negative,1,No,Moderate,Male,92.3
Mahmud Khan,27,79.5,Low,High School,High,Yes,8,64.0,Low,No,0,Low,High,Private,Negative,1,Yes,Far,Male,88.2
Farhana Chowdhury,9,99.3,Low,Postgraduate,Low,Yes,9,72.8,Low,No,4,Low,Medium,Private,Neutral,6,No,Near,Male,82.8
Mehedi Khan,22,79.2,Medium,Postgraduate,Low,No,9,83.9,High,Yes,3,Low,High,Public,Neutral,6,No,Near,Male,95.5
Rafi Rahman,25,97.9,Medium,College,Low,No,8,76.8,Low,Yes,2,High,Medium,Public,Negative,3,No,Near,Male,96.0
Tanzim Bhuiyan,11,81.4,Low,College,Medium,Yes,9,79.2,Low,Yes,1,Medium,Low,Private,Positive,4,No,Near,Female,71.2
Tasnim Siddique,19,64.8,High,High School,Medium,No,9,75.8,Low,Yes,0,Low,Low,Public,Negative,7,No,Moderate,Female,70.6
Sumaiya Chowdhury,14,93.9,High,College,Low,Yes,8,70.1,High,No,0,Low,High,Public,Neutral,5,No,Near,Female,79.4
Arafat Ahmed,16,52.9,High,College,High,No,5,51.8,Low,Yes,2,Medium,Low,Public,Negative,1,No,Moderate,Male,67.5
Sadia Mia,22,87.7,Low,High School,Medium,No,5,73.7,Medium,Yes,0,High,High,Private,Negative,3,No,Far,Male,85.8
Sumaiya Ahmed,19,68.1,High,High School,Medium,No,7,95.0,High,No,1,Low,High,Public,Neutral,2,Yes,Far,Male,92.7
Tanvir Bhuiyan,12,82.5,Low,Postgraduate,High,Yes,7,70.2,High,Yes,0,Low,Low,Public,Positive,4,No,Near,Female,77.4
Sadia Islam,11,78.6,Low,Postgraduate,High,No,9,99.2,High,Yes,3,Medium,High,Private,Negative,3,No,Moderate,Male,96.2
Nusrat Siddique,16,76.7,High,High School,Low,Yes,9,77.9,Low,No,2,Medium,High,Public,Neutral,4,No,Moderate,Male,75.0
Sabuj Rahman,20,74.2,Low,College,High,No,8,83.8,Medium,No,2,Low,High,Public,Neutral,1,No,Near,Male,93.2
Farhana Siddique,15,95.1,Medium,Postgraduate,High,No,8,75.6,Low,No,3,Low,Medium,Public,Positive,4,No,Far,Male,94.2
Tanzim Islam,36,73.7,High,College,Low,No,9,98.3,Low,No,0,High,Low,Private,Positive,2,No,Far,Male,100.0
Rafi Hossain,11,75.6,High,Postgraduate,Low,No,7,82.7,Medium,No,1,Medium,High,Public,Negative,4,Yes,Far,Female,76.6
Tanvir Jahan,33,87.2,Low,High School,Low,Yes,9,74.5,High,No,0,Medium,Low,Public,Negative,3,No,Moderate,Male,96.7
Mahmud Khan,15,84.5,Medium,College,Medium,No,6,89.3,Low,Yes,2,Low,Low,Public,Positive,3,No,Near,Male,84.7
Rafi Siddique,16,100.0,Low,Postgraduate,Medium,No,5,56.8,Medium,Yes,4,Low,Low,Public,Neutral,1,Yes,Near,Male,78.8
Tanzim Ali,7,100.0,Low,High School,Low,No,6,72.5,Medium,Yes,3,Low,Medium,Public,Positive,1,No,Near,Female,81.6
Sajib Hossain,18,92.6,Low,College,Low,No,6,83.1,Low,No,4,Low,High,Private,Positive,3,Yes,Far,Female,85.8
Mahmud Alam,24,67.0,Low,College,Medium,Yes,5,93.3,Medium,No,0,Medium,Low,Public,Positive,1,Yes,Far,Female,89.0
Tanvir Chowdhury,23,85.1,Low,College,Low,Yes,7,66.3,High,No,4,High,High,Public,Positive,5,No,Moderate,Female,89.1
Laboni Rahman,22,78.5,Medium,College,Low,No,6,50.9,Low,Yes,3,Medium,Medium,Public,Negative,1,No,Far,Male,74.6
Farhana Akter,26,47.8,Low,College,High,No,7,90.1,High,No,0,Low,Low,Public,Positive,5,No,Near,Female,79.3
Sabuj Mia,22,81.0,High,College,High,No,6,85.3,High,Yes,1,Medium,Low,Public,Neutral,5,No,Near,Male,90.3
Farhana Shaikh,16,86.2,High,College,Low,No,9,73.3,Medium,Yes,0,Medium,High,Public,Negative,6,No,Near,Male,78.6
Sadia Bhuiyan,3,85.1,Low,Postgraduate,Medium,Yes,8,70.4,Low,No,0,Medium,Medium,Private,Positive,7,No,Near,Male,66.9
Fahim Akter,32,92.2,Medium,High School,High,Yes,5,69.1,High,No,0,Medium,High,Private,Negative,6,No,Near,Male,100.0
Lamia Chowdhury,26,96.7,High,High School,Low,Yes,6,91.0,High,No,3,Low,Medium,Public,Positive,3,No,Far,Male,100.0
Sajib Islam,28,84.9,High,High School,High,Yes,7,70.4,High,No,0,Low,High,Private,Neutral,3,No,Far,Male,98.6
Nusrat Mia,20,73.7,Low,High School,Medium,No,5,72.2,Medium,No,4,Medium,High,Private,Negative,7,No,Far,Female,82.8
Fahim Bhuiyan,20,58.0,High,Postgraduate,High,Yes,5,86.8,Low,No,1,Low,Low,Private,Negative,3,No,Moderate,Male,82.8
Mehedi Alam,3,100.0,Medium,High School,High,No,6,61.8,Low,Yes,0,Medium,High,Public,Neutral,1,No,Far,Female,73.5
Nusrat Rahman,28,69.5,Low,High School,Medium,No,9,82.6,High,No,4,Low,High,Private,Positive,5,No,Near,Female,96.5
Fahim Islam,22,74.2,Low,College,Low,No,7,89.0,Medium,Yes,0,Low,Low,Private,Positive,1,No,Near,Male,80.4
Fahim Ali,26,87.9,Low,College,Medium,No,8,76.1,Medium,Yes,1,Medium,Medium,Private,Negative,1,Yes,Moderate,Male,93.7
Tanvir Khan,27,85.7,Medium,College,Low,Yes,9,67.7,Medium,Yes,4,High,High,Public,Negative,2,No,Far,Female,94.1
Arif Shaikh,28,96.2,Medium,Postgraduate,Medium,Yes,9,82.9,High,No,1,Medium,High,Private,Positive,5,No,Moderate,Male,100.0
Laboni Bhuiyan,13,85.6,High,Postgraduate,High,Yes,5,88.1,Low,Yes,2,Low,Low,Private,Negative,6,No,Near,Female,86.0
Sumaiya Jahan,32,87.4,High,High School,High,No,5,70.6,Medium,No,1,High,Medium,Public,Negative,7,No,Moderate,Female,100.0
Nahid Hasan,28,88.8,High,College,Low,Yes,8,84.1,Medium,Yes,1,High,Low,Public,Positive,3,No,Moderate,Female,96.1
Rafi Akter,18,83.5,Medium,Postgraduate,High,No,7,71.6,Medium,Yes,1,High,Low,Public,Neutral,6,Yes,Near,Female,84.1
Farhana Shaikh,9,62.3,High,College,Medium,No,7,61.6,Medium,No,1,Medium,Low,Private,Neutral,6,No,Near,Male,64.4
Rakib Bhuiyan,14,66.1,Medium,College,High,No,5,97.0,Medium,Yes,2,Medium,High,Public,Negative,5,Yes,Far,Female,90.4
Mehedi Hossain,2,73.8,Medium,Postgraduate,High,Yes,5,74.8,Medium,Yes,1,Low,Low,Public,Negative,3,No,Near,Female,68.2
Mahmud Ahmed,8,62.3,Medium,College,High,Yes,6,88.3,Medium,Yes,2,Medium,High,Public,Positive,7,Yes,Far,Female,85.0
Fahim Hasan,25,88.9,High,College,Medium,Yes,6,70.5,Low,No,4,Low,Medium,Public,Neutral,6,No,Far,Male,96.5
Farhana Akter,13,78.6,Low,College,High,Yes,6,50.3,Medium,No,0,Low,High,Public,Positive,3,No,Far,Male,70.0
Nahid Bhuiyan,27,74.6,Medium,Postgraduate,High,No,9,47.2,High,No,2,Medium,Medium,Private,Neutral,7,No,Moderate,Female,88.2
Nahid Chowdhury,12,93.3,High,High School,Low,No,7,60.2,High,No,0,High,High,Private,Positive,3,No,Moderate,Male,72.7
Sajib Ali,12,88.6,Medium,College,High,Yes,6,99.9,High,Yes,0,Low,High,Private,Negative,6,Yes,Far,Female,94.5
Sabuj Akter,7,87.3,Medium,College,Medium,Yes,7,73.7,Medium,Yes,3,Medium,Medium,Private,Positive,5,No,Far,Female,76.0
Anika Ali,15,82.8,Low,Postgraduate,High,Yes,5,80.6,Low,No,2,High,Medium,Public,Neutral,2,No,Far,Female,86.0
Tasnim Jahan,20,82.5,High,College,Medium,No,8,64.2,Medium,No,2,Low,Medium,Private,Positive,2,Yes,Near,Male,78.4
Laboni Hossain,29,78.4,High,College,High,Yes,6,70.1,Medium,Yes,0,Medium,Medium,Public,Negative,3,Yes,Far,Female,94.8
Mehedi Bhuiyan,14,92.7,Low,College,Medium,Yes,9,69.9,High,Yes,2,Medium,Low,Private,Positive,7,No,Near,Male,88.5
Mehedi Khan,21,72.6,Low,High School,High,No,7,100.0,Medium,No,0,Medium,High,Private,Neutral,1,No,Near,Male,89.2
Sajib Bhuiyan,25,87.0,High,High School,Low,No,6,71.4,High,No,0,Low,Low,Public,Negative,1,No,Moderate,Female,85.8
Tanzim Ahmed,29,100.0,Medium,College,High,Yes,8,52.5,High,No,1,Medium,High,Private,Neutral,1,No,Near,Male,100.0
Farhana Jahan,19,100.0,High,High School,Low,No,9,62.7,High,Yes,1,Medium,Low,Public,Negative,1,No,Far,Male,90.2
Nusrat Akter,27,95.2,Low,High School,High,Yes,7,78.2,Low,No,1,Medium,Medium,Private,Neutral,4,No,Near,Male,98.8
Nusrat Akter,16,79.6,High,College,High,Yes,6,65.9,High,Yes,0,Medium,High,Public,Neutral,5,No,Near,Female,78.4
Mahmud Bhuiyan,15,79.6,Medium,Postgraduate,Low,Yes,7,63.4,Medium,Yes,3,High,High,Private,Neutral,2,Yes,Near,Female,75.1
Sabuj Shaikh,21,63.3,High,High School,Low,Yes,8,78.6,High,Yes,1,High,High,Private,Negative,3,No,Moderate,Male,83.1
Tanvir Khan,10,67.2,Low,High School,Low,No,5,83.7,Low,No,2,High,Medium,Private,Positive,7,No,Near,Male,74.6
Sadia Akter,14,81.3,High,High School,Medium,Yes,8,81.8,Medium,No,0,Medium,Medium,Private,Positive,4,No,Near,Female,76.9
Tanvir Ali,12,89.6,Medium,Postgraduate,Medium,Yes,9,61.2,Medium,Yes,1,Low,High,Public,Negative,6,No,Moderate,Female,75.6
Rakib Islam,14,96.8,High,College,Medium,No,7,89.3,High,Yes,4,Medium,Low,Public,Neutral,6,Yes,Near,Male,98.0
Sajib Shaikh,15,65.1,High,Postgraduate,High,No,8,75.0,High,Yes,3,Medium,High,Public,Positive,2,No,Moderate,Female,87.3
Arif Alam,38,86.7,High,High School,Low,Yes,7,76.7,High,Yes,0,Medium,Low,Private,Neutral,1,No,Near,Female,100.0
Laboni Jahan,24,89.0,High,Postgraduate,Medium,No,5,59.0,Medium,No,1,Low,Low,Public,Neutral,4,Yes,Moderate,Female,80.9
Sabuj Hossain,5,88.1,Medium,College,Low,No,5,58.6,High,Yes,2,High,High,Public,Negative,7,Yes,Moderate,Female,58.2
Farhana Ali,26,82.4,Medium,College,High,No,5,77.5,High,No,3,Low,High,Private,Positive,3,No,Far,Male,100.0
Tasnim Ali,20,80.8,High,College,High,Yes,9,86.9,High,No,3,Low,Medium,Public,Negative,2,Yes,Near,Female,96.0
Mahmud Hossain,24,89.2,Medium,High School,Medium,No,9,66.9,Low,Yes,1,High,High,Private,Negative,5,No,Moderate,Female,89.3
Sadia Khan,24,71.2,Low,Postgraduate,High,No,5,74.4,Low,Yes,2,High,High,Private,Positive,4,No,Far,Male,91.5
Nahid Hasan,18,84.4,Medium,Postgraduate,Medium,No,8,100.0,Medium,No,2,Medium,High,Public,Neutral,5,Yes,Near,Male,94.0
Laboni Ahmed,20,66.3,High,Postgraduate,Medium,Yes,6,59.1,High,No,1,High,High,Public,Negative,5,No,Far,Male,75.8
Arif Mia,24,82.6,High,College,High,No,5,48.8,Low,No,1,Medium,Medium,Private,Positive,4,No,Far,Male,79.7
Sadia Shaikh,12,80.3,High,High School,Low,No,7,57.1,Medium,Yes,2,Low,Low,Private,Positive,7,No,Near,Male,67.3
Rakib Hossain,12,87.0,High,Postgraduate,High,No,9,64.4,High,Yes,4,Medium,Low,Private,Negative,1,Yes,Moderate,Female,84.5
Sabuj Mia,21,78.0,Medium,High School,High,Yes,6,65.4,Medium,Yes,2,Medium,Low,Private,Positive,2,Yes,Near,Male,83.6
Laboni Hossain,20,73.3,Medium,High School,Medium,Yes,5,52.5,Medium,No,2,Low,High,Private,Negative,2,No,Moderate,Male,79.9
Sajib Hasan,2,93.2,Low,Postgraduate,High,No,6,54.9,High,Yes,1,High,Medium,Private,Positive,5,No,Far,Male,66.6
Arafat Bhuiyan,29,78.2,High,High School,Medium,No,7,86.3,High,Yes,0,Low,High,Private,Negative,2,No,Moderate,Female,100.0
Nahid Siddique,15,50.9,Medium,Postgraduate,High,Yes,8,66.4,Low,Yes,1,Low,Low,Private,Neutral,3,No,Moderate,Male,67.5
Arif Mia,12,81.6,Medium,High School,High,Yes,5,46.6,Medium,No,3,High,High,Private,Neutral,2,No,Moderate,Male,82.8
Arif Siddique,19,70.8,Low,Postgraduate,Low,No,6,67.8,Low,Yes,2,Low,High,Public,Positive,1,Yes,Far,Male,72.0
Rakib Mia,2,76.7,Medium,High School,Low,Yes,8,61.8,Low,Yes,2,Medium,Low,Public,Neutral,4,Yes,Moderate,Female,45.0
Sajib Shaikh,14,94.5,Medium,Postgraduate,Low,Yes,9,65.5,High,Yes,0,Medium,Low,Public,Positive,1,No,Moderate,Female,82.4
Anika Bhuiyan,19,93.1,Medium,College,Medium,Yes,6,93.7,High,Yes,3,High,Low,Private,Negative,3,Yes,Far,Female,100.0
Tasnim Shaikh,30,100.0,High,Postgraduate,Low,No,6,74.4,Low,Yes,0,Medium,Low,Public,Positive,4,No,Far,Female,92.0
Laboni Islam,20,100.0,Low,High School,Low,Yes,7,70.8,High,Yes,0,High,Medium,Public,Negative,6,Yes,Far,Male,86.1
Arafat Ahmed,17,84.2,Low,High School,High,Yes,6,55.1,High,Yes,1,Low,Medium,Private,Neutral,3,No,Far,Male,76.6
Fahim Khan,25,95.9,Medium,Postgraduate,High,No,6,67.7,Medium,No,0,Medium,High,Public,Positive,7,No,Near,Female,94.8
Farhana Mia,29,90.6,High,Postgraduate,Medium,No,8,87.9,Medium,No,2,Medium,Medium,Public,Positive,5,Yes,Moderate,Female,99.5
Nusrat Islam,9,76.0,High,Postgraduate,Low,Yes,9,77.9,Medium,Yes,2,Low,Low,Public,Neutral,2,No,Far,Female,63.5
Tanzim Siddique,23,100.0,Medium,Postgraduate,High,No,9,65.0,Medium,Yes,4,High,High,Public,Neutral,5,No,Near,Female,100.0
Arafat Chowdhury,31,100.0,Medium,Postgraduate,Low,Yes,8,84.4,High,No,2,Low,Low,Public,Positive,3,No,Far,Male,100.0
Tanzim Jahan,17,71.9,Medium,High School,Low,Yes,5,59.4,Medium,No,1,Medium,Medium,Public,Negative,6,Yes,Moderate,Male,58.2
Sajib Hossain,24,83.8,High,Postgraduate,High,Yes,9,67.2,Medium,No,0,High,High,Private,Positive,3,Yes,Moderate,Male,89.1
Rafi Alam,22,91.8,Low,Postgraduate,Medium,Yes,9,86.0,Medium,Yes,3,Medium,Medium,Private,Neutral,6,No,Near,Male,94.1
Tanvir Jahan,26,72.2,Low,High School,Low,Yes,8,91.0,Medium,No,2,Medium,High,Public,Positive,2,No,Moderate,Female,91.4
Lamia Islam,25,96.1,High,College,Low,Yes,5,76.5,Low,Yes,4,High,Low,Public,Positive,2,No,Far,Male,90.7
Tanvir Alam,19,81.0,Low,Postgraduate,Medium,No,8,85.4,High,Yes,0,Low,High,Public,Positive,2,Yes,Far,Female,91.5
Farhana Ali,29,82.3,Medium,Postgraduate,Low,No,8,78.3,High,No,1,High,Low,Private,Negative,2,No,Near,Female,99.8
Nusrat Shaikh,4,82.9,Low,Postgraduate,High,Yes,5,99.4,High,Yes,3,Medium,Medium,Public,Positive,4,No,Far,Male,87.2
Sadia Alam,30,90.1,High,Postgraduate,Low,No,8,72.1,High,No,0,Low,High,Private,Positive,3,Yes,Near,Female,91.4
Lamia Bhuiyan,26,70.9,High,Postgraduate,High,No,7,92.0,Low,Yes,0,Low,Medium,Public,Neutral,2,No,Far,Female,91.5
Sabuj Mia,33,86.7,High,High School,High,Yes,8,57.3,High,No,1,Medium,Low,Public,Neutral,6,No,Near,Male,100.0
Lamia Ahmed,22,99.5,Medium,Postgraduate,Medium,No,9,53.7,High,Yes,0,Medium,Medium,Private,Positive,5,Yes,Near,Female,81.4
Fahim Ahmed,25,77.5,Medium,Postgraduate,Medium,Yes,9,98.2,High,Yes,3,Medium,Medium,Public,Positive,4,No,Near,Male,99.7
Sajib Bhuiyan,6,99.5,High,Postgraduate,High,No,5,97.5,High,Yes,0,Low,High,Public,Negative,1,No,Moderate,Female,87.5
Tanvir Jahan,7,97.2,Medium,High School,High,No,6,66.3,Low,Yes,2,Low,High,Private,Neutral,7,Yes,Moderate,Male,90.6
Laboni Ahmed,21,73.7,Low,High School,High,Yes,6,100.0,High,Yes,2,Medium,High,Public,Positive,1,No,Far,Male,100.0
Tanvir Bhuiyan,28,89.1,Medium,College,High,Yes,7,84.9,Medium,Yes,1,Low,Medium,Public,Positive,7,No,Far,Female,99.8
Tanvir Jahan,28,74.2,High,High School,Medium,Yes,9,87.3,Medium,No,1,High,High,Public,Neutral,3,No,Far,Male,98.6
Sajib Hossain,10,79.7,High,College,High,No,9,64.0,High,Yes,0,Medium,Medium,Private,Neutral,7,Yes,Far,Female,64.8
Sabuj Khan,23,65.6,Low,College,Low,Yes,7,76.7,Medium,No,1,Medium,High,Public,Positive,2,No,Far,Male,81.5
Anika Hossain,29,89.0,Medium,Postgraduate,High,No,8,70.8,Medium,No,3,Low,Low,Public,Neutral,6,No,Near,Male,97.8
Mahmud Jahan,29,58.8,High,High School,Medium,No,9,56.5,Low,Yes,1,Low,Low,Public,Negative,1,No,Near,Female,78.4
Arif Shaikh,21,60.8,Medium,College,High,Yes,5,78.5,Medium,No,0,Medium,Medium,Private,Neutral,5,No,Far,Male,78.3
Sumaiya Khan,28,79.7,High,High School,High,Yes,8,68.8,Medium,No,3,Medium,Medium,Public,Neutral,5,No,Near,Male,97.8
Nusrat Rahman,10,47.5,Medium,Postgraduate,Medium,No,8,73.6,Low,No,1,High,High,Private,Negative,4,No,Moderate,Male,67.6
Mahmud Chowdhury,27,91.3,High,College,Medium,Yes,8,79.0,Medium,Yes,0,Low,Medium,Private,Negative,2,No,Near,Female,89.5
Sadia Bhuiyan,26,96.7,High,High School,Medium,Yes,8,72.6,Low,No,0,Medium,Low,Private,Neutral,1,No,Moderate,Male,91.9
Mehedi Shaikh,22,79.3,Low,College,Medium,No,7,62.2,High,No,2,Medium,Low,Private,Positive,1,No,Far,Female,80.6
Sumaiya Hossain,31,78.7,Medium,Postgraduate,High,No,5,73.7,Low,No,0,High,High,Public,Neutral,4,Yes,Far,Female,95.4
Nahid Ahmed,20,68.4,Medium,Postgraduate,Low,No,7,49.3,Low,Yes,3,Low,High,Private,Neutral,3,No,Moderate,Male,66.9
Anika Mia,20,88.2,Medium,Postgraduate,High,No,6,52.1,Medium,No,2,Low,Medium,Private,Neutral,6,No,Near,Male,81.0
Tanvir Mia,11,88.8,High,Postgraduate,Low,Yes,9,55.3,Low,Yes,4,Medium,Low,Private,Negative,7,No,Near,Female,79.8
Arafat Hossain,7,96.0,Medium,Postgraduate,Low,Yes,6,63.7,Low,Yes,3,High,High,Private,Neutral,5,No,Moderate,Male,69.6
Mehedi Shaikh,28,100.0,Low,Postgraduate,Medium,No,9,69.9,Medium,No,2,Low,Medium,Private,Positive,4,No,Far,Female,99.5
Laboni Akter,13,83.0,High,Postgraduate,Medium,No,7,59.0,Medium,No,0,Medium,Medium,Public,Negative,1,Yes,Moderate,Male,56.5
Sabuj Siddique,16,100.0,Low,College,Medium,No,9,98.8,Medium,No,1,Medium,High,Public,Positive,2,No,Moderate,Female,92.8
Sabuj Siddique,20,73.3,Medium,High School,Medium,Yes,8,71.4,High,No,0,Medium,Medium,Private,Negative,6,No,Moderate,Male,84.8
Farhana Siddique,14,89.2,High,Postgraduate,High,Yes,8,64.1,Medium,Yes,1,Low,Medium,Private,Neutral,5,No,Moderate,Male,77.3
Rakib Ahmed,20,100.0,High,Postgraduate,Medium,Yes,6,78.5,Low,Yes,3,Low,Medium,Public,Negative,6,No,Moderate,Female,93.9
Rakib Mia,17,88.1,Low,High School,Low,No,5,78.4,Low,No,2,Medium,Low,Private,Negative,3,Yes,Moderate,Female,80.9
Arafat Ali,27,81.1,Low,High School,Medium,Yes,8,71.5,Medium,No,0,Medium,Low,Private,Negative,7,No,Near,Male,99.9
Rakib Jahan,28,88.1,High,High School,Low,Yes,5,92.3,Medium,No,4,Medium,High,Public,Positive,6,No,Moderate,Male,100.0
Arif Siddique,20,64.7,Low,College,Medium,Yes,7,86.9,High,Yes,1,Low,Medium,Public,Neutral,1,No,Far,Female,80.4
Mehedi Bhuiyan,29,88.4,Medium,Postgraduate,Low,No,8,84.7,Medium,Yes,1,Medium,Low,Public,Negative,1,No,Near,Male,93.9
Nahid Rahman,23,71.8,High,High School,Low,Yes,8,65.0,Medium,Yes,3,Medium,High,Public,Positive,6,No,Moderate,Female,85.3
Mahmud Shaikh,17,87.8,High,College,Medium,No,6,66.3,High,No,3,High,Low,Private,Negative,5,No,Far,Female,83.4
Mehedi Siddique,12,87.1,Medium,College,High,Yes,8,100.0,Medium,No,0,Medium,Medium,Public,Negative,1,No,Far,Female,82.8
Laboni Chowdhury,21,84.9,High,High School,Low,Yes,9,81.3,High,No,1,Low,Medium,Public,Neutral,3,Yes,Far,Male,86.3
Sajib Chowdhury,11,87.1,High,College,Low,Yes,6,71.4,Low,Yes,0,Low,High,Public,Negative,1,No,Near,Female,74.9
Tanzim Hasan,20,78.8,High,College,High,No,8,99.1,Medium,Yes,3,High,High,Private,Negative,7,No,Near,Male,100.0
Arafat Khan,21,77.8,High,High School,Medium,Yes,7,78.7,High,No,3,High,High,Private,Neutral,1,No,Far,Male,92.0
Mahmud Siddique,34,86.2,Low,High School,High,Yes,5,69.7,Low,Yes,3,High,High,Private,Negative,7,No,Far,Female,100.0
Lamia Rahman,3,74.7,High,College,High,Yes,9,92.2,High,No,1,High,Medium,Public,Negative,5,No,Far,Male,74.2
Rakib Alam,24,71.9,Medium,College,High,No,8,66.1,Medium,No,1,High,Medium,Private,Positive,7,No,Far,Male,82.5
Arif Alam,32,78.1,High,College,Medium,Yes,7,91.0,Medium,No,1,High,Medium,Private,Negative,1,No,Far,Male,100.0
Anika Jahan,19,96.7,Low,College,Low,Yes,7,74.5,High,No,0,Medium,Medium,Public,Negative,5,No,Near,Female,85.2
Farhana Jahan,10,96.3,Medium,College,Low,Yes,9,67.5,High,No,0,Medium,Medium,Public,Positive,6,No,Moderate,Male,72.9
Anika Shaikh,16,88.3,High,Postgraduate,Medium,No,8,66.9,Low,No,2,Low,Low,Private,Neutral,1,No,Far,Male,83.0
Anika Siddique,21,100.0,Low,College,High,Yes,6,60.0,High,Yes,0,Low,Low,Private,Positive,4,Yes,Moderate,Male,88.4
Anika Bhuiyan,28,66.2,Medium,High School,Low,Yes,6,84.1,Medium,No,2,Medium,Low,Private,Positive,7,No,Moderate,Female,89.0
Sadia Khan,23,79.1,High,High School,Medium,Yes,9,83.4,Medium,Yes,0,Low,High,Public,Positive,1,No,Moderate,Female,96.7
Nusrat Akter,6,54.7,Medium,College,Medium,Yes,9,76.0,Medium,No,1,Low,Low,Private,Neutral,2,No,Far,Female,61.3
Rakib Shaikh,15,80.9,Low,High School,High,Yes,7,78.6,Medium,Yes,0,High,Low,Public,Negative,6,No,Moderate,Male,81.1
Nusrat Ahmed,16,91.0,Medium,College,Low,No,8,76.7,Medium,No,3,High,Low,Public,Negative,5,No,Far,Male,83.5
Laboni Shaikh,12,95.0,Medium,High School,Low,No,7,66.5,Medium,Yes,3,Low,Low,Private,Negative,7,Yes,Far,Female,79.1
Nusrat Shaikh,22,74.3,Medium,Postgraduate,Medium,No,9,61.3,Low,Yes,0,Low,Medium,Public,Neutral,6,No,Far,Female,75.7
Sabuj Shaikh,19,78.4,Low,Postgraduate,Medium,Yes,6,85.2,Medium,Yes,0,Medium,Medium,Private,Positive,5,No,Moderate,Female,75.6
Tanvir Bhuiyan,28,71.6,Low,Postgraduate,Medium,Yes,9,80.0,Medium,No,1,Medium,Low,Private,Negative,6,No,Near,Female,92.8
Nahid Ali,19,80.0,High,Postgraduate,Low,No,9,75.0,Medium,No,0,Medium,Low,Public,Neutral,5,No,Near,Male,79.8
Mahmud Ali,22,96.0,Low,College,High,Yes,6,77.7,High,Yes,3,Medium,High,Public,Neutral,3,No,Far,Male,100.0
Sadia Mia,21,94.0,Low,College,Medium,No,5,36.2,Medium,Yes,1,Low,Medium,Private,Positive,7,No,Near,Male,77.9
Nahid Hasan,31,77.8,Medium,Postgraduate,High,Yes,7,86.4,High,No,1,Low,Low,Public,Negative,2,Yes,Near,Female,100.0
Rafi Khan,32,97.8,Medium,High School,Low,Yes,6,97.0,Low,No,0,Medium,Low,Public,Neutral,1,No,Far,Male,100.0
Mehedi Alam,12,82.4,Medium,Postgraduate,Medium,No,8,70.4,High,No,2,Low,Medium,Private,Negative,5,Yes,Far,Female,67.8
Lamia Hasan,20,88.6,High,Postgraduate,High,No,9,74.6,High,Yes,2,Low,Low,Public,Neutral,4,Yes,Far,Male,100.0
Laboni Bhuiyan,19,79.8,High,High School,Low,No,9,67.8,Medium,No,0,Low,Medium,Private,Neutral,2,Yes,Moderate,Male,63.7
Rakib Ali,16,73.7,High,College,Low,Yes,6,54.3,High,No,2,Medium,High,Public,Negative,4,No,Moderate,Male,71.4
Lamia Alam,12,74.0,High,High School,Medium,Yes,7,71.1,Low,Yes,0,Low,Medium,Private,Positive,1,No,Far,Female,67.7
Laboni Mia,17,73.0,Medium,Postgraduate,High,No,6,78.5,High,Yes,1,Low,Low,Private,Positive,7,No,Far,Male,89.5
Sadia Islam,23,79.8,High,High School,Medium,Yes,5,63.1,Medium,Yes,2,Low,Medium,Private,Neutral,4,No,Near,Female,82.1
Fahim Ali,17,72.4,Medium,Postgraduate,Low,No,6,89.1,High,No,1,Medium,Medium,Public,Negative,5,Yes,Near,Male,79.7
Tanvir Hasan,16,74.2,High,Postgraduate,Low,No,7,54.7,Low,Yes,1,Low,Low,Public,Negative,1,No,Far,Female,56.8
Tanzim Hossain,22,88.1,Medium,High School,Low,No,8,51.9,High,Yes,3,Low,Medium,Public,Neutral,7,No,Moderate,Female,85.6
Arafat Bhuiyan,21,74.6,Medium,Postgraduate,Low,No,6,64.1,Medium,No,1,High,Medium,Public,Negative,5,Yes,Far,Male,74.5
Tanzim Hossain,2,73.4,High,Postgraduate,High,No,6,71.0,High,No,2,High,Low,Private,Positive,5,No,Moderate,Female,63.1
Lamia Khan,24,80.0,High,Postgraduate,High,Yes,8,91.2,Medium,No,1,Low,Medium,Public,Positive,6,No,Near,Male,100.0
Nusrat Mia,19,82.2,Low,Postgraduate,Medium,Yes,7,83.9,Medium,Yes,2,High,Low,Private,Neutral,7,No,Far,Female,87.7
Arafat Ahmed,23,89.6,Medium,Postgraduate,High,No,7,74.8,Medium,No,0,Medium,Low,Public,Positive,7,No,Near,Male,88.3
Sajib Alam,19,79.5,High,College,Medium,Yes,5,72.2,Low,No,1,High,High,Public,Neutral,7,No,Moderate,Female,75.2
Laboni Ahmed,4,90.8,High,Postgraduate,High,No,7,86.0,Medium,No,3,Low,High,Public,Negative,4,No,Moderate,Male,88.4
Arif Ali,14,100.0,Low,Postgraduate,High,No,6,57.3,Medium,Yes,1,Medium,Low,Public,Neutral,3,Yes,Near,Female,84.9
